pattern,replacement
풀뿌리 도서관,풀뿌리도서관 
어린이 도서관,어린이도서관 
심곡 어린이도서관,심곡어린이도서관 
아라뱃길,아라뱃길 
문화의 집,문화의집 
동은,동 
동에,동 
국화꽃축제,국화축제 
체육회,체육대회 
 축제,축제 
청소년 수련관,청소년수련관 
키즈존과,키즈존 
홍대와,홍대 
서울로,서울 
힘듦이,힘듦 
크가,크 
