"title","contents","link","date","key"
"신항 쓰레기<b>매립지</b> 조성 우려에 <b>인천</b>시 &quot;계획 없다&quot; 답변","  인천   시는 년 종료를 앞둔   인천   시   서구    수도권쓰레기  매립지   를 대체할   매립지   를 조성하는 사업을   인천   시 공론화 호 의제로 선정하고   인천   만의 친환경   매립지   를 조성하는 방안을 논의하고 있다  수도권쓰레기  매립지   는    ","https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0011124125","Sun, 06 Oct 2019 09:48:00 +0900","매립지"
"수도권쓰레기<b>매립지</b> 주변 주민들, <b>매립지</b> 사용종료 촉구","  인천서구   발전협의회 등 개 지역 단체와   인천   경제정의실천시민연합   인천   경실련 관계자 등 여명은 일 오후   인천   시   서구    수도권  매립지   관리공사 동문 앞에서 집회를 열고   환경부는 수도권  매립지    년 사용종료 선언을    ","https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0011197258","Thu, 07 Nov 2019 16:17:00 +0900","매립지"
"<b>인천 서구</b>, 전국 자치구 중 노후방지시설 최대 규모 지원.... 미세먼지 등 42...","미세먼지 등   저감    서구    맑은 하늘 기대   인천 서구   가  클린   서구    의 일환으로 대대적으로 추진하는    이재현 구청장은   우리   서구   는 세계 최대 쓰레기   매립지   와 발전소  주요 산업단지 등이 위치해 오래전부터 환경    ","http://www.ilyoseoul.co.kr/news/articleView.html?idxno=382100","Fri, 10 Apr 2020 11:56:00 +0900","매립지"
"<b>인천</b> 수도권<b>매립지</b>에 국내 유일 드론인증센터 유치 확정","국내 유일 드론인증센터가   인천 서구    수도권  매립지   에 조성된다    인천   시는 미래 스마트도시 혁명을 이끌 무인항공기 드론 의 산업화에 가장 중요한 기반시설 중 하나인 국가 드론인증센터가   서구    수도권  매립지   에    ","http://www.incheonnews.com/news/articleView.html?idxno=119345","Wed, 09 Oct 2019 09:20:00 +0900","매립지"
"&quot;<b>매립지</b> 2025년 종료&quot; <b>인천 서구</b> 범시민 운동","맘카페등 개 단체 대책위 발족대규모 서명 캠페인등 추진키로수도권 쓰레기   매립지   가 있는   인천 서구   지역 주민들이 년   매립지    종료를 위한 대책 기구를 만들어 범시민 운동에 나서기로 했다   인천 서구       ","http://www.kyeongin.com/main/view.php?key=20191021010007105","Mon, 21 Oct 2019 21:54:00 +0900","매립지"
"[열전현장] 박종진 <b>인천 서구</b>을 예비후보 &quot;<b>매립지</b> 종료, 헌법소원심판청구하겠...","박종진 미래통합당   서구   을 예비후보는 일 수도권  매립지    사용 종료를 위한 추진력을 담은 공약을 내걸었다  박 예비후보는   애초 정부는 년에서  다시 년까지 종료하겠다고 했지만 아직 대체부지도 찾지 못했다  며    ","http://www.joongboo.com/news/articleView.html?idxno=363405561","Thu, 12 Mar 2020 16:10:00 +0900","매립지"
"수도권<b>매립지</b>관리공사, <b>인천 서구</b>청 등 6개기관과 ‘기업체 미세먼지 저감 협...","수도권  매립지   관리공사는 오늘 일    인천 서구   청 대회의실에서   서구   청 등 개 기관과  기업체 미세먼지 저감을 위한 자발적 협약 을 체결했다고 밝혔습니다  이번 협약은   매립지   공사를 비롯한 지역 내 개 기업이    ","http://www.ifm.kr/news/272707","Tue, 18 Feb 2020 17:18:00 +0900","매립지"
"이행숙 <b>서구</b>을 후보,'기마행진' 이색 출정식","말 타고 지역구 일대 돌며 유권자에게 인사 이행숙 후보   수도권  매립지    종료 인시위 이어갈 것   밝혀 이행숙   인천 서구   을무소속  후보는 ㆍ총선 공식 선거운동 첫날인 일 오전 시   서구   청역 사거리에서 출정식을 열고    ","http://www.incheonnews.com/news/articleView.html?idxno=122358","Thu, 02 Apr 2020 16:30:00 +0900","매립지"
"&quot;환경부는 <b>매립지</b> 연장위한 연구용역 즉각 중단해야&quot;","수도권  매립지    일부사진    인천   투데이 자료사진    인천 서구   지역 주민단체 등으로 구성된 수도권  매립지   종료주민대책위는 환경부가 추진 중인  폐기물의 안정적 처리를 위한 친환경   매립지    관리방안 연구용역 이    ","http://www.incheontoday.com/news/articleView.html?idxno=121682","Mon, 23 Mar 2020 09:26:00 +0900","매립지"
"&quot;<b>매립지</b> 2025년 종료&quot; <b>인천 서구</b> 주민들 힘 모은다","맘카페 등 개 단체 대책위 발족서명 캠페인 등 범시민운동 전개시민 환경단체와 연대  한목소리 수도권 쓰레기   매립지   가 있는   인천 서구    지역 주민들이 년   매립지    종료를 위한 대책 기구를 만들어 범시민 운동에    ","http://www.kyeongin.com/main/view.php?key=20191021010007103","Mon, 21 Oct 2019 21:54:00 +0900","매립지"
